total_txn_amount,avg_txn_amount,std_txn_amount,txn_count,max_txn_amount,min_txn_amount,burst_score,time_to_first_outbound_minutes,fund_exit_ratio,txn_velocity,distinct_counterparties,counterparty_diversity_score,incoming_sources_count,international_counterparty_flag,pep_flag,high_risk_country_flag,kyc_risk_score,account_age_days,alert_count,historical_sar_flag,sar_worthy,typology_structuring,typology_rapid_movement,typology_funnel_account,typology_trade_based,typology_shell_company,typology_round_tripping
8026570.16,1003321.2698,99341.2946,8,1003321.2698,599241.15,0.3946,5473,0.7051,1.1368,55,0.4138,9,1,0,1,0.574,1969,9,0,1,0,0,0,0,1,0
438294.71,48699.4121,635.3085,9,63446.53,163.93,0.159,39042,0.3799,0.3326,4,0.0322,4,0,0,0,0.394,1699,2,0,0,0,0,0,0,0,0
2548914.48,231719.4983,25320.4031,11,231719.4983,231719.4983,0.7671,17,0.9055,19.95,9,0.8379,17,0,1,0,0.5875,48,5,1,1,0,1,0,0,0,0
3920511.26,58515.0935,10078.9211,67,58515.0935,38919.71,0.6358,54,0.792,4.3879,9,0.4575,46,1,0,0,0.6672,603,3,0,1,0,0,1,0,0,0
8129233.59,812923.3594,138630.122,10,812923.3594,618876.37,0.5479,1962,0.9544,5.7881,9,0.6641,5,1,1,0,0.8331,1703,9,0,1,0,0,0,0,0,1
2002038.51,66734.6171,17551.2699,30,116928.12,59675.44,0.7309,226,0.7055,13.4162,33,0.4234,49,0,0,0,0.7807,594,3,1,1,0,0,1,0,0,0
121608.72,20268.1199,635.3085,6,38644.21,14462.59,0.0501,12707,0.4869,1.2441,3,0.01,4,0,0,0,0.3879,1178,2,0,0,0,0,0,0,0,0
106508.81,5071.8481,669.6367,21,19554.71,5071.8481,0.6172,225,0.8279,3.6637,18,0.2396,3,0,1,0,0.7917,402,5,1,1,1,0,0,0,0,0
18757887.71,987257.2479,190629.6031,19,1059141.86,892584.09,0.6277,6868,0.7006,1.1368,60,0.4138,9,0,1,0,0.5688,372,10,0,1,0,0,0,0,1,0
24761094.86,1650739.6576,289378.1679,15,1650739.6576,1227432.69,0.592,5128,0.9127,2.6774,27,0.5298,14,1,0,1,0.8018,200,3,0,1,0,0,0,1,0,0
13059269.99,725514.9997,141569.3852,18,725514.9997,254193.77,0.6366,1962,0.7913,2.5287,14,0.309,7,1,0,1,0.8038,1384,3,0,1,0,0,0,0,0,1
1944490.05,57190.8838,4888.7835,34,57190.8838,28193.58,0.5856,395,0.7086,3.6637,9,0.2169,3,0,1,1,0.7624,321,3,0,1,1,0,0,0,0,0
1382288.34,125662.5762,29209.7684,11,368014.74,125662.5762,0.987,93,0.951,10.0879,27,0.6226,16,1,1,0,0.621,332,6,0,1,0,1,0,0,0,0
5925593.23,63038.2258,17558.7373,94,63038.2258,63038.2258,0.8412,210,0.6593,5.4931,35,0.4249,35,1,0,0,0.8921,367,4,0,1,0,0,1,0,0,0
2629793.86,47814.4338,14384.5185,55,56607.47,47814.4338,0.6148,144,0.9429,4.6227,9,0.3755,49,1,1,1,0.8921,603,3,1,1,0,0,1,0,0,0
15049819.05,1003321.2698,112727.5382,15,1003321.2698,892584.09,0.6208,2231,0.8667,1.1368,60,0.4927,19,1,0,1,0.5688,1221,10,0,1,0,0,0,0,1,0
455093.75,41372.1588,41372.1588,11,254856.08,41372.1588,0.8691,66,0.8135,19.95,12,0.4654,15,1,0,0,0.5525,398,9,1,1,0,1,0,0,0,0
9746981.36,1392425.9088,357115.3107,7,1392425.9088,1392425.9088,0.4032,1897,0.9127,0.5447,27,0.318,7,1,0,1,0.8807,1808,7,1,1,0,0,0,1,0,0
197802.08,5071.8481,5071.8481,39,6403.63,5071.8481,0.8121,331,0.8015,3.6637,12,0.1912,3,0,0,0,0.7917,283,10,0,1,1,0,0,0,0,0
5110073.32,464552.1204,43121.4415,11,464552.1204,229330.16,0.7882,32,0.9562,16.2924,30,0.8908,15,0,1,1,0.8676,48,4,0,1,0,1,0,0,0,0
6240731.71,390045.7321,170499.8297,16,590425.09,12344.87,0.3648,5721,0.6396,0.5447,10,0.6367,5,1,0,1,0.8807,200,2,0,1,0,0,0,1,0,0
40537717.89,1930367.5187,222079.9436,21,1930367.5187,726186.63,0.4209,1897,0.7643,2.44,18,0.4153,4,1,1,1,0.8807,600,4,1,1,0,0,0,1,0,0
202873.92,5071.8481,5071.8481,40,6403.63,5071.8481,0.8121,288,0.7801,3.6637,13,0.2404,4,0,0,0,0.7513,340,6,0,1,1,0,0,0,0,0
6259547.58,782443.4476,107847.9653,8,782443.4476,4538.54,0.7061,998,0.8405,1.1368,38,0.7834,6,1,1,0,0.5688,317,9,0,1,0,0,0,0,1,0
2652545.5,44209.0916,4240.7129,60,44209.0916,30680.45,0.6643,402,0.8019,3.6637,8,0.1452,8,0,0,0,0.7917,335,6,1,1,1,0,0,0,0,0
8474693.81,282489.7937,126761.5641,30,282489.7937,70003.52,0.6186,9228,0.9476,4.8124,14,0.4047,6,1,1,1,0.7564,1703,3,0,1,0,0,0,0,0,1
1626274.39,77441.6376,5237.7029,21,77441.6376,30206.15,0.6386,600,0.7214,3.6637,11,0.1452,3,0,0,1,0.7525,168,3,0,1,1,0,0,0,0,0
2075570.19,61046.182,16144.3426,34,78271.17,61046.182,0.6482,359,0.6328,7.3412,19,0.5386,28,1,0,0,0.7216,603,6,1,1,0,0,1,0,0,0
2414887.74,219535.2488,25797.2255,11,220017.68,131270.27,0.987,50,0.9002,19.95,13,0.4654,18,1,0,0,0.5881,55,9,0,1,0,1,0,0,0,0
554958.88,22198.3551,22198.3551,25,81457.85,22198.3551,0.8121,120,0.7966,3.6637,14,0.1452,6,1,1,1,0.7917,422,7,0,1,1,0,0,0,0,0
1987744.19,180704.0173,30648.384,11,276450.03,7221.69,0.9323,70,0.8369,12.5323,23,0.8908,9,1,1,1,0.5682,120,4,0,1,0,1,0,0,0,0
2061270.93,187388.2663,38780.0441,11,226222.35,187388.2663,0.7079,135,0.7102,12.2449,9,0.7437,17,0,1,0,0.6843,48,4,1,1,0,1,0,0,0,0
18059782.86,1003321.2698,195609.4242,18,1003321.2698,289910.09,0.504,6085,0.9189,1.1368,51,0.4138,19,1,0,1,0.6585,614,8,0,1,0,0,0,0,1,0
1781954.42,59398.4806,2111.3978,30,59398.4806,33188.71,0.771,54,0.6504,4.3879,18,0.7424,49,0,0,0,0.6785,66,8,0,1,0,0,1,0,0,0
8842345.32,736862.1101,257697.5935,12,846847.95,736862.1101,0.6345,5611,0.9494,4.929,60,0.5402,19,1,0,1,0.6102,2026,7,1,1,0,0,0,0,1,0
4073734.8,370339.5272,43121.4415,11,370339.5272,316184.4,0.987,59,0.9387,18.5995,20,0.4654,18,0,1,0,0.6137,182,7,0,1,0,1,0,0,0,0
7490039.56,936254.9452,173535.5596,8,1058154.52,892584.09,0.5202,6769,0.8926,2.3919,60,0.4138,19,1,1,0,0.6349,396,10,0,1,0,0,0,0,1,0
3600450.12,327313.6473,34520.6957,11,327313.6473,327313.6473,0.987,56,0.8954,18.3062,39,0.6027,13,0,0,1,0.5525,48,4,0,1,0,1,0,0,0,0
271547.78,20888.2904,5625.0948,13,63446.53,20888.2904,0.0874,36936,0.4819,0.6096,3,0.0296,4,0,0,0,0.1014,1088,2,0,0,0,0,0,0,0,0
1348178.6,43489.6324,42580.094,31,83034.72,43489.6324,0.9183,52,0.7102,8.8712,9,0.593,15,1,0,0,0.6166,48,9,1,1,0,1,0,0,0,0
1883187.64,171198.876,43121.4415,11,171198.876,37431.28,0.7776,327,0.8805,17.4799,9,0.5968,19,1,0,0,0.7148,271,4,1,1,0,1,0,0,0,0
1126720.06,27480.9771,4197.0762,41,27480.9771,27480.9771,0.6308,219,0.7439,5.5411,10,0.1815,3,0,0,0,0.7917,36,5,1,1,1,0,0,0,0,0
9029891.43,1003321.2698,186293.7902,9,1003321.2698,236784.86,0.4598,5836,0.8899,2.096,60,0.4927,19,1,1,1,0.5688,1512,7,1,1,0,0,0,0,1,0
28392392.29,1494336.4364,417966.8939,19,1494336.4364,1494336.4364,0.592,9484,0.7619,2.6774,22,0.5599,7,1,0,1,0.7998,200,7,0,1,0,0,0,1,0,0
177514.68,5071.8481,5071.8481,35,22622.8,5071.8481,0.631,553,0.8206,6.0299,8,0.2749,3,1,1,0,0.7917,482,3,1,1,1,0,0,0,0,0
2063297.68,98252.2707,4844.9734,21,98252.2707,50334.36,0.8121,120,0.7102,3.6637,11,0.3464,6,0,0,0,0.6325,217,3,1,1,1,0,0,0,0,0
8026570.16,1003321.2698,222506.832,8,1003321.2698,71813.68,0.4669,5991,0.719,2.1519,40,0.495,3,1,1,0,0.6353,1416,10,0,1,0,0,0,0,1,0
455093.75,41372.1588,24977.473,11,199676.2,41372.1588,0.6254,31,0.9941,19.95,26,0.704,17,0,1,1,0.5525,240,4,0,1,0,1,0,0,0,0
633092.36,48699.4121,635.3085,13,63446.53,5193.36,0.2775,34935,0.4869,0.9026,1,0.01,2,0,0,0,0.335,2322,0,0,0,0,0,0,0,0,0
10791411.82,981037.4383,64213.7652,11,981037.4383,12344.87,0.4967,9079,0.8952,2.6774,10,0.6778,7,1,0,1,0.8807,354,2,1,1,0,0,0,1,0,0
1448025.56,41372.1588,41372.1588,35,59549.38,41372.1588,0.9744,81,0.7102,19.95,19,0.4654,12,1,1,0,0.6645,233,12,1,1,0,1,0,0,0,0
2314702.88,68079.4965,2111.3978,34,133824.1,68079.4965,0.6248,54,0.9429,4.3879,31,0.7424,45,0,0,0,0.6785,603,3,0,1,0,0,1,0,0,0
8069737.54,244537.5012,1603.2111,33,244537.5012,40151.45,0.8121,350,0.7488,4.6887,9,0.1452,3,0,0,1,0.7806,387,3,0,1,1,0,0,0,0,0
3899151.0,354468.273,8779.675,11,369991.84,354468.273,0.7818,71,0.7102,19.95,12,0.6526,3,0,1,1,0.704,48,4,1,1,0,1,0,0,0,0
924341.72,84031.0652,41292.719,11,496796.67,84031.0652,0.7777,324,0.9583,12.2936,14,0.8698,11,1,0,0,0.6985,48,4,1,1,0,1,0,0,0,0
455093.75,41372.1588,30853.5954,11,213731.1,31865.59,0.987,77,0.8441,14.7388,12,0.8908,8,1,0,0,0.6988,48,4,0,1,0,1,0,0,0,0
8026570.16,1003321.2698,257697.5935,8,1066462.43,892584.09,0.5874,5924,0.8008,4.903,60,0.5253,6,1,1,1,0.6388,1069,5,1,1,0,0,0,0,1,0
5728423.41,179013.2316,3277.058,32,179013.2316,41615.9,0.7908,123,0.8279,3.6637,14,0.22,3,0,1,0,0.7917,365,3,0,1,1,0,0,0,0,0
10782486.51,770177.6079,458126.5549,14,1448042.59,770177.6079,0.3286,4183,0.7869,2.2397,10,0.5786,4,1,0,0,0.7868,369,6,0,1,0,0,0,1,0,0
25200624.14,812923.3594,103698.6463,31,812923.3594,424383.84,0.5346,12471,0.9703,3.7789,26,0.309,11,1,1,1,0.6843,415,6,1,1,0,0,0,0,0,1
579210.22,41372.1588,29022.4669,14,337080.52,41372.1588,0.6669,39,0.9635,19.95,14,0.8145,15,1,0,1,0.893,535,5,1,1,0,1,0,0,0,0
24889563.18,802889.135,53903.1978,31,802889.135,264086.14,0.635,6780,0.9819,1.6088,39,0.309,4,1,1,0,0.6808,1027,9,0,1,0,0,0,0,0,1
172442.84,5071.8481,5071.8481,34,6403.63,5071.8481,0.8121,270,0.774,3.6637,10,0.2619,3,0,1,0,0.5359,90,8,1,1,1,0,0,0,0,0
1213842.47,40461.4155,9497.4,30,49648.69,15613.25,0.5428,54,0.7666,7.7895,18,0.2568,49,0,0,1,0.5818,444,3,0,1,0,0,1,0,0,0
455093.75,41372.1588,40004.8907,11,295691.41,41372.1588,0.969,62,0.8389,19.95,30,0.6185,15,1,1,0,0.798,48,4,0,1,0,1,0,0,0,0
3703460.08,246897.3384,246897.3384,15,2459254.66,12344.87,0.592,8350,0.7328,2.6774,5,0.4821,3,1,0,1,0.8552,200,6,0,1,0,0,0,1,0,0
868815.33,41372.1588,41372.1588,21,153911.83,41372.1588,0.8743,17,0.9137,11.3175,9,0.5689,5,0,0,0,0.6688,218,11,1,1,0,1,0,0,0,0
4064335.11,369485.0104,31026.2065,11,369485.0104,369485.0104,0.9333,52,0.7917,8.3086,18,0.4654,21,1,0,1,0.6945,48,4,0,1,0,1,0,0,0,0
1858060.06,168914.551,31756.8029,11,168914.551,168914.551,0.987,62,0.7102,19.95,10,0.8019,32,0,0,0,0.7103,168,4,1,1,0,1,0,0,0,0
8942156.95,812923.3594,38476.911,11,812923.3594,411883.24,0.6065,1962,0.9819,2.1777,6,0.5454,3,1,0,1,0.8847,1703,9,0,1,0,0,0,0,0,1
15118498.25,408608.0609,185059.9529,37,616947.04,408608.0609,0.5405,7104,0.7006,1.1368,60,0.5084,17,1,1,1,0.6934,1405,10,1,1,0,0,0,0,1,0
8026570.16,1003321.2698,157150.26,8,1003321.2698,346792.18,0.3856,3243,0.9494,1.1368,60,0.6489,19,1,1,1,0.5972,2026,10,0,1,0,0,0,0,1,0
26086353.01,1003321.2698,189728.7987,26,1194414.83,516069.83,0.6262,1782,0.7285,1.1368,60,0.4138,14,1,0,1,0.5688,1040,9,0,1,0,0,0,0,1,0
25200624.14,812923.3594,60018.2642,31,812923.3594,618876.37,0.5837,1962,0.9819,1.6088,39,0.3976,12,1,1,1,0.8847,649,3,1,1,0,0,0,0,0,1
351230.81,13008.5484,629.066,27,13008.5484,13008.5484,0.5042,128,0.8279,3.6637,6,0.185,6,1,0,1,0.6487,272,3,1,1,1,0,0,0,0,0
1444205.78,131291.4345,35590.2879,11,223402.57,131291.4345,0.6738,41,0.8952,19.95,9,0.6722,7,0,1,1,0.6576,48,4,1,1,0,1,0,0,0,0
2606532.41,153325.4357,35944.2565,17,368253.21,153325.4357,0.9357,31,0.9589,15.8975,36,0.5735,14,1,0,1,0.7572,147,10,1,1,0,1,0,0,0,0
23561877.66,760060.5697,48949.6939,31,760060.5697,618876.37,0.5723,4153,0.919,3.7245,6,0.4069,5,1,1,1,0.7912,968,7,0,1,0,0,0,0,0,1
16169170.21,489974.8548,110327.82,33,605045.74,489974.8548,0.5311,5444,0.755,2.2746,25,0.6425,7,1,0,1,0.6555,597,5,0,1,0,0,0,0,1,0
16830941.08,701289.2118,23281.8649,24,701289.2118,498126.13,0.6287,3015,0.7006,1.1368,60,0.4618,13,1,0,0,0.7641,2026,3,0,1,0,0,0,0,1,0
7021811.33,702181.1329,76983.6229,10,976463.56,85043.91,0.4943,2427,0.9494,1.4643,53,0.4138,14,1,0,0,0.5688,1332,7,1,1,0,0,0,0,1,0
7091587.53,244537.5012,3932.0209,29,244537.5012,51469.06,0.6916,264,0.6145,6.8124,4,0.149,3,0,1,1,0.7489,310,3,0,1,1,0,0,0,0,0
4677332.32,82058.4618,2111.3978,57,82058.4618,857.74,0.7059,317,0.6962,4.3879,19,0.7313,48,1,0,0,0.7199,603,7,1,1,0,0,1,0,0,0
806279.67,17154.8865,7399.7056,47,120068.85,17154.8865,0.7169,283,0.8048,6.1205,28,0.6069,45,0,0,1,0.849,370,7,0,1,0,0,1,0,0,0
15498578.67,968661.1666,23281.8649,16,968661.1666,15625.98,0.7103,4503,0.7749,1.1368,40,0.61,19,0,1,1,0.5688,1067,9,0,1,0,0,0,0,1,0
13047893.03,567299.6968,284684.6829,23,862554.2,567299.6968,0.5612,6873,0.8448,1.4014,14,0.318,3,1,1,1,0.7934,660,8,0,1,0,0,0,1,0,0
455093.75,41372.1588,15484.8237,11,283714.76,41372.1588,0.9347,21,0.9412,19.6042,37,0.4654,13,0,0,1,0.5525,273,4,0,1,0,1,0,0,0,0
1767425.98,50497.8851,2746.9564,35,50497.8851,50497.8851,0.4054,120,0.8279,3.6637,6,0.1452,3,0,0,0,0.7917,196,4,1,1,1,0,0,0,0,0
8026570.16,1003321.2698,257697.5935,8,1003321.2698,892584.09,0.7131,4687,0.7205,1.1368,60,0.6996,19,1,0,0,0.5688,1487,10,1,1,0,0,0,0,1,0
22804997.73,735645.088,20091.807,31,735645.088,582673.29,0.5593,3415,0.8708,2.6936,15,0.5268,6,1,0,1,0.6852,1703,3,0,1,0,0,0,0,0,1
455093.75,41372.1588,38947.9367,11,294018.11,41372.1588,0.7296,10,0.94,19.95,28,0.4654,7,0,0,0,0.5525,259,8,0,1,0,1,0,0,0,0
1234486.69,246897.3384,246897.3384,5,1086992.19,246897.3384,0.4239,6173,0.8171,1.6458,27,0.318,13,1,0,0,0.8807,839,8,1,1,0,0,0,1,0,0
1234486.69,246897.3384,221278.1211,5,590425.09,246897.3384,0.45,8479,0.9127,0.6867,25,0.6778,7,1,0,1,0.7343,392,5,1,1,0,0,0,1,0,0
1655292.94,55176.4314,20936.2818,30,55176.4314,55176.4314,0.6708,54,0.7762,7.7132,48,0.479,49,0,0,0,0.7001,190,3,1,1,0,0,1,0,0,0
1832347.4,61078.2466,2011.4433,30,61078.2466,54811.14,0.8121,559,0.8279,4.9535,13,0.1452,5,1,1,1,0.6232,148,6,0,1,1,0,0,0,0,0
20624983.26,665322.0405,24618.0226,31,665322.0405,538298.91,0.7037,6226,0.8757,3.8683,17,0.4743,10,1,1,1,0.7442,1703,4,0,1,0,0,0,0,0,1
13207446.97,235847.2674,11681.4039,56,235847.2674,93348.67,0.7877,54,0.7,4.7047,9,0.2568,25,0,0,0,0.6474,603,9,1,1,0,0,1,0,0,0
8026570.16,1003321.2698,226033.1624,8,1003321.2698,727164.77,0.4452,3214,0.7006,5.4144,17,0.7594,16,1,1,1,0.5804,2026,10,0,1,0,0,0,0,1,0
1827292.51,87013.9289,4167.545,21,87013.9289,34618.75,0.7787,195,0.7828,3.6637,9,0.1452,3,0,0,0,0.7917,198,6,0,1,1,0,0,0,0,0
579210.22,41372.1588,41372.1588,14,58841.85,41372.1588,0.9337,36,0.919,19.95,12,0.7603,8,0,0,0,0.6809,122,4,1,1,0,1,0,0,0,0
2043036.84,38547.865,3049.4453,53,84043.23,38547.865,0.8009,231,0.8372,12.735,9,0.3527,17,1,0,0,0.8336,579,5,1,1,0,0,1,0,0,0
8667181.42,509834.201,244961.8662,17,749167.71,509834.201,0.5104,7350,0.9494,4.8015,48,0.4138,9,1,0,0,0.7582,388,10,1,1,0,0,0,0,1,0
1035437.94,33401.2238,6067.1605,31,49648.69,33401.2238,0.719,332,0.8205,4.3879,21,0.6325,47,0,0,1,0.5473,603,9,0,1,0,0,1,0,0,0
11036533.97,1003321.2698,257697.5935,11,1003321.2698,892584.09,0.5945,3602,0.7728,2.5478,40,0.6194,19,1,1,1,0.6966,933,10,0,1,0,0,0,0,1,0
3006621.91,300662.191,300662.191,10,590425.09,119204.14,0.3662,1897,0.8141,2.6774,22,0.3432,5,1,1,0,0.8768,407,5,0,1,0,0,0,1,0,0
5019758.16,209156.59,43121.4415,24,209156.59,92817.98,0.8521,37,0.8759,19.95,15,0.6988,10,0,0,1,0.7966,131,7,0,1,0,1,0,0,0,0
2762569.18,92085.6393,11844.8351,30,92085.6393,92085.6393,0.6282,182,0.7943,6.2776,25,0.6006,11,0,1,0,0.5473,498,4,1,1,0,0,1,0,0,0
891644.95,81058.6322,37106.0125,11,434820.52,81058.6322,0.987,34,0.7688,15.6107,11,0.4654,10,1,1,1,0.5525,65,4,0,1,0,1,0,0,0,0
8546811.89,102973.6372,2111.3978,83,102973.6372,100915.82,0.8626,54,0.6126,4.3879,36,0.527,49,1,0,0,0.7385,598,3,1,1,0,0,1,0,0,0
24387700.78,812923.3594,20091.807,30,812923.3594,618876.37,0.6966,6786,0.9819,2.2284,6,0.309,4,1,0,1,0.6331,1703,9,0,1,0,0,0,0,0,1
713238.73,24594.439,3482.7082,29,24594.439,24594.439,0.6959,157,0.8279,4.3846,13,0.2418,3,0,0,0,0.7917,482,9,0,1,1,0,0,0,0,0
5379741.71,336233.8566,265654.9879,16,828851.88,336233.8566,0.5069,6027,0.9127,2.6774,24,0.4091,10,1,0,1,0.7218,1057,3,0,1,0,0,0,1,0,0
2735828.95,210448.3809,13911.0075,13,210448.3809,210448.3809,0.8882,108,0.9047,10.0133,12,0.8385,14,1,0,1,0.6568,48,7,0,1,0,1,0,0,0,0
7747122.81,227856.5531,5277.6979,34,227856.5531,6171.32,0.5581,193,0.8019,4.7447,6,0.1452,3,0,0,1,0.7917,341,3,0,1,1,0,0,0,0,0
6666228.14,246897.3384,246897.3384,27,1300462.35,246897.3384,0.592,7679,0.8656,1.9833,21,0.318,9,1,0,1,0.6382,200,4,0,1,0,0,0,1,0,0
4593324.84,241753.9392,63401.1428,19,679194.27,241753.9392,0.6958,4498,0.8178,1.558,20,0.6265,7,1,0,1,0.8743,1200,10,1,1,0,0,0,0,1,0
16258467.19,812923.3594,20091.807,20,812923.3594,460849.68,0.5563,6396,0.9287,3.3456,10,0.5544,10,1,0,1,0.5742,437,7,1,1,0,0,0,0,0,1
5135287.53,244537.5012,24548.7076,21,244537.5012,40452.14,0.8121,255,0.8185,5.5569,12,0.3868,3,0,0,0,0.6028,432,4,1,1,1,0,0,0,0,0
42468085.41,1930367.5187,497708.5202,22,1930367.5187,1483049.23,0.4458,7277,0.6028,1.7874,5,0.318,5,1,0,1,0.8807,450,8,1,1,0,0,0,1,0,0
4034356.33,192112.2061,2046.54,21,192112.2061,19127.87,0.8121,433,0.8279,3.6637,15,0.1454,8,0,0,1,0.7917,265,4,0,1,1,0,0,0,0,0
6503386.88,812923.3594,22156.4345,8,812923.3594,312276.62,0.5111,1962,0.9205,1.6088,6,0.6287,12,1,1,1,0.7741,1475,8,0,1,0,0,0,0,0,1
226205.18,9048.2074,5273.9441,25,9048.2074,9048.2074,0.7518,600,0.8279,4.1595,8,0.2178,3,0,0,0,0.6595,270,3,0,1,1,0,0,0,0,0
28092995.55,1003321.2698,114521.7145,28,1003321.2698,892584.09,0.5948,3196,0.8061,1.1368,43,0.4138,16,1,0,0,0.7082,1210,10,1,1,0,0,0,0,1,0
9651837.59,1930367.5187,64213.7652,5,2772267.65,1213524.59,0.5284,2486,0.9127,1.178,27,0.318,11,1,0,0,0.8601,1214,2,0,1,0,0,0,1,0,0
591760.48,28179.0705,8095.4637,21,28179.0705,28179.0705,0.5855,120,0.8279,10.6983,15,0.2057,3,0,1,0,0.7917,336,3,1,1,1,0,0,0,0,0
22073067.94,1003321.2698,180810.0068,22,1387694.74,609431.96,0.7131,4118,0.9284,1.1368,60,0.5616,12,1,1,1,0.5688,2026,10,0,1,0,0,0,0,1,0
5456365.47,341022.842,120926.1572,16,3157121.88,341022.842,0.4158,4789,0.8402,1.4534,9,0.3221,14,1,0,1,0.8807,200,7,0,1,0,0,0,1,0,0
3029556.6,79725.1738,10335.253,38,79725.1738,49165.63,0.6237,54,0.7028,8.7662,25,0.4481,49,1,0,0,0.6694,603,5,0,1,0,0,1,0,0,0
152155.44,5071.8481,5071.8481,30,6403.63,5071.8481,0.7566,350,0.8279,5.3039,6,0.1452,3,0,1,0,0.7495,482,11,0,1,1,0,0,0,0,0
5135287.53,244537.5012,5996.4831,21,244537.5012,38972.67,0.6548,293,0.7685,7.0717,8,0.2246,3,1,0,1,0.6336,148,6,1,1,1,0,0,0,0,0
1704976.72,56832.5574,6397.7562,30,56832.5574,857.74,0.6966,119,0.7278,7.6653,18,0.6682,49,1,0,0,0.5758,184,9,0,1,0,0,1,0,0,0
26358860.08,1054354.4034,225889.3337,25,1315173.14,688725.44,0.5721,4833,0.9127,0.7028,9,0.6778,11,1,0,1,0.8807,1136,8,0,1,0,0,0,1,0,0
2222076.05,246897.3384,246897.3384,9,590425.09,246897.3384,0.3952,6368,0.6374,2.6774,15,0.6334,5,1,0,0,0.8807,200,8,0,1,0,0,0,1,0,0
2531543.74,180824.5531,43121.4415,14,180824.5531,180824.5531,0.7613,125,0.9176,19.2203,9,0.6209,14,0,0,0,0.6591,199,4,0,1,0,1,0,0,0,0
2356515.91,294564.4893,146535.7032,8,793098.95,294564.4893,0.5655,6928,0.8015,2.2583,60,0.7814,16,1,1,1,0.6355,1513,8,0,1,0,0,0,0,1,0
